"Municipality";"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"Калачевский муниципальный район";"19.03.1963";"кирпичные";"2495";"г. Калач-на-Дону, ул. 51 Гвардейская, д. 6";43,5299515;48,6922385
"Калачевский муниципальный район";"19.07.1991";"кирпичные";"4378,9";"г. Калач-на-Дону, ул. Октябрьская, д. 290";43,5517445;48,67723
"Калачевский муниципальный район";"19.05.1989";"железобетонные";"5051,3";"г. Калач-на-Дону, ул. Революционная, д. 417";43,5495075;48,675576
"Калачевский муниципальный район";"19.11.1995";"панельные";"4752";"г. Калач-на-Дону, ул. Чекмарева, д. 51";43,551978;48,6852725
"Калачевский муниципальный район";"05.02.1988";"кирпичные";"178";"г. Калач-на-Дону, тер. Нефтебаза, д. 2";43,508697;48,684273
"Калачевский муниципальный район";"19.07.1991";"панельные";"4742,9";"г. Калач-на-Дону, ул. 65 Армии, д. 8";43,567348;48,6617545
"Калачевский муниципальный район";"20.04.2004";"железобетонные";"2078,3";"г. Калач-на-Дону, ул. Пролетарская, д. 244";43,5436955;48,683006
"Калачевский муниципальный район";"20.08.2008";"кирпичные";"6703";"г. Калач-на-Дону, ул. Октябрьская, д. 309";43,552005;48,6779495
"Калачевский муниципальный район";"20.10.2010";"панельные";"10514,2";"г. Калач-на-Дону, ул. Кирова, д. 179";43,5501545;48,685415
"Калачевский муниципальный район";"20.11.2011";"панельные";"5640,9";"г. Калач-на-Дону, ул. Чекмарева, д. 55";43,5526785;48,6862835
